CNAG_07636	Chitin synthase regulator 2
CNAG_00025	Vacuolar calcium ion transporter (Vacuolar calcium exchanger)
CNAG_06103	RNA-binding protein VTS1
CNAG_02294	Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)
CNAG_03196	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
CNAG_06906	Probable eukaryotic translation initiation factor 4H
CNAG_02046	PAB1-binding protein 1 (Poly(A)-binding protein-binding protein)
CNAG_02915	Serine/threonine-protein kinase PDK1 (EC 2.7.11.1)
CNAG_06085	Phospholipase B (EC 3.1.1.5) (Lysophospholipase)
CNAG_00938	Mitochondrial respiration co-chaperone MRJ1 (Mitochondrial respiration J-domain protein 1)
CNAG_00796	ABC multidrug transporter MDR1
CNAG_03981	Palmitoyltransferase PFA4 (EC 2.3.1.225) (Protein S-acyltransferase) (PAT) (Protein fatty acyltransferase 4)
CNAG_07413	Nucleolar GTP-binding protein 2
CNAG_04808	Post-transcriptional regulator MKT1 (Inactive endonuclease MKT1)
CNAG_01523	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24)
CNAG_04187	GPI-anchored wall transfer protein 1 (EC 2.3.-.-)
CNAG_03099	Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1) (Class-IV chitin synthase 1)
CNAG_05818	Chitin synthase 5 (EC 2.4.1.16)
CNAG_00623	Glucosylceramidase (EC 3.2.1.45) (Endoglycoceramidase-related protein 1) (EGCrP1) (Glucocerebrosidase)
CNAG_05799	Chitin deacetylase 1 (EC 3.5.1.41)
CNAG_02415	Annexin C1
CNAG_00306	Copper metallothionein 2 (Cu-MT 2) (Cu-metallothionein 2) (Copper chelatin 2) (Copper thionein 2)
CNAG_02775	Copper acquisition factor BIM1 (BCS-inducible membrane protein 1) (Lytic polysaccharide monooxygenase-like protein BIM1) (LPMO-like protein BIM1) (EC 1.14.99.-)
CNAG_01239	Chitin deacetylase 3 (EC 3.5.1.41)
CNAG_07499	Chitin synthase 8 (EC 2.4.1.16)
CNAG_00483	Actin
CNAG_07724	Copper-dependent transcription factor 1
CNAG_05655	Calmodulin-like protein 1
CNAG_05449	Copper metallothionein 1 (Cu-MT 1) (Cu-metallothionein 1) (Copper chelatin 1) (Copper thionein 1)
CNAG_00156	Transcriptional regulator CRZ1
CNAG_07701	CUF1-dependent copper transporter 1 (Copper transporter 1)
CNAG_03682	FK506-binding protein 1 (FKBP) (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rapamycin-binding protein)
CNAG_00869	ABC multidrug transporter AFR2
CNAG_00694	Pre-mRNA-splicing factor CLF1 (crooked-neck-like protein 1)
CNAG_00730	ABC multidrug transporter AFR1
CNAG_02217	Chitin synthase 7 (EC 2.4.1.16)
CNAG_01232	Calcium-transporting ATPase 2 (EC 7.2.2.10)
CNAG_07937	Probable O-acetyltransferase CAS1 (EC 2.3.1.-) (Capsule synthesis protein 1)
CNAG_01230	Chitin deacetylase 2 (EC 3.5.1.41)
CNAG_05581	Chitin synthase 3 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 3) (Class-IV chitin synthase 3)
CNAG_06487	Chitin synthase 6 (EC 2.4.1.16)
CNAG_00239	AP-1-like transcription factor yap1 (BZIP domain-containing transcription factor yap1)
CNAG_03326	Chitin synthase 2 (EC 2.4.1.16)
CNAG_00979	Copper transport protein CTR4 (Copper transporter 4)
CNAG_01537	ATP-dependent RNA helicase VAD1 (EC 3.6.4.13) (Virulence-associated DEAD box protein 1)
CNAG_05583	Ceramide glucosyltransferase (EC 2.4.1.80) (GLCT-1) (Glucosylceramide synthase) (GCS) (UDP-glucose ceramide glucosyltransferase) (UDP-glucose:N-acylsphingosine D-glucosyltransferase)
CNAG_00546	Chitin synthase 4 (EC 2.4.1.16)
CNAG_06283	DNA-binding protein LIV4
CNAG_04215	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)
CNAG_01744	Probable phosphatase HAD1 (EC 3.1.3.-)
CNAG_01727	Transcriptional coregulator SSA1
CNAG_07460	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)
CNAG_04796	Serine/threonine-protein phosphatase 2B catalytic subunit A1 (EC 3.1.3.16) (Calcineurin A1)
CNAG_01018	Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma) (EC 3.6.5.3)
CNAG_04570	La RNA-binding domain-containing protein LHP1
