CNAG_08029	XP_012053953
CNAG_08028	XP_012053952
CNAG_08028	XP_012053951
CNAG_08027	XP_012053950
CNAG_08026	XP_012053949
CNAG_08025	XP_012053948
CNAG_08024	XP_012053947
CNAG_08024	XP_012053946
CNAG_08023	XP_012053945
CNAG_08022	XP_012053944
CNAG_08022	XP_012053943
CNAG_08021	XP_012053942
CNAG_08021	XP_012053941
CNAG_08020	XP_012053940
CNAG_07893	XP_012053939
CNAG_07892	XP_012053938
CNAG_07888	XP_012053937
CNAG_07887	XP_012053936
CNAG_07885	XP_012053935
CNAG_07884	XP_012053934
CNAG_07883	XP_012053933
CNAG_07882	XP_012053932
CNAG_07881	XP_012053931
CNAG_07881	XP_012053930
CNAG_07880	XP_012053929
CNAG_07879	XP_012053928
CNAG_07878	XP_012053927
CNAG_07874	XP_012053926
CNAG_07872	XP_012053925
CNAG_07870	XP_012053924
CNAG_07869	XP_012053923
CNAG_07033	XP_012053922
CNAG_07032	XP_012053921
CNAG_05664	XP_012053920
CNAG_05663	XP_012053919
CNAG_05662	XP_012053918
CNAG_05661	XP_012053917
CNAG_05660	XP_012053916
CNAG_05659	XP_012053915
CNAG_05658	XP_012053914
CNAG_05657	XP_012053913
CNAG_05656	XP_012053912
CNAG_05655	XP_012053911
CNAG_05654	XP_012053910
CNAG_05653	XP_012053909
CNAG_05652	XP_012053908
CNAG_05651	XP_012053907
CNAG_05650	XP_012053906
CNAG_05649	XP_012053905
CNAG_05647	XP_012053904
CNAG_05646	XP_012053903
CNAG_05644	XP_012053902
CNAG_05643	XP_012053901
CNAG_05642	XP_012053900
CNAG_05641	XP_012053899
CNAG_05641	XP_012053898
CNAG_05638	XP_012053897
CNAG_05637	XP_012053896
CNAG_05636	XP_012053895
CNAG_05635	XP_012053894
CNAG_05634	XP_012053893
CNAG_05633	XP_012053892
CNAG_05632	XP_012053891
CNAG_05631	XP_012053890
CNAG_05630	XP_012053889
CNAG_05629	XP_012053888
CNAG_05626	XP_012053887
CNAG_05623	XP_012053886
CNAG_05621	XP_012053885
CNAG_05619	XP_012053884
CNAG_05617	XP_012053883
CNAG_05617	XP_012053882
CNAG_05615	XP_012053881
CNAG_05614	XP_012053880
CNAG_05610	XP_012053879
CNAG_05608	XP_012053878
CNAG_05607	XP_012053877
CNAG_05606	XP_012053876
CNAG_05605	XP_012053875
CNAG_05603	XP_012053874
CNAG_05602	XP_012053873
CNAG_05599	XP_012053872
CNAG_05597	XP_012053871
CNAG_05596	XP_012053870
CNAG_05595	XP_012053869
CNAG_05592	XP_012053868
CNAG_05591	XP_012053867
CNAG_05591	XP_012053866
CNAG_05587	XP_012053865
CNAG_05586	XP_012053864
CNAG_05586	XP_012053863
CNAG_05585	XP_012053862
CNAG_05584	XP_012053861
CNAG_05583	XP_012053860
CNAG_05582	XP_012053859
CNAG_05581	XP_012053858
CNAG_05576	XP_012053857
CNAG_05575	XP_012053856
CNAG_05574	XP_012053855
CNAG_05573	XP_012053854
CNAG_05572	XP_012053853
CNAG_05571	XP_012053852
CNAG_05569	XP_012053851
CNAG_05567	XP_012053850
CNAG_05565	XP_012053849
CNAG_05564	XP_012053848
CNAG_05562	XP_012053847
CNAG_05559	XP_012053846
CNAG_05557	XP_012053845
CNAG_05556	XP_012053844
CNAG_05555	XP_012053843
CNAG_05554	XP_012053842
CNAG_05547	XP_012053841
CNAG_05546	XP_012053840
CNAG_05544	XP_012053839
CNAG_05543	XP_012053838
CNAG_05541	XP_012053837
CNAG_05538	XP_012053836
CNAG_05535	XP_012053835
CNAG_05534	XP_012053834
CNAG_05533	XP_012053833
CNAG_05532	XP_012053832
CNAG_05530	XP_012053831
CNAG_05529	XP_012053830
CNAG_05526	XP_012053829
CNAG_05525	XP_012053828
CNAG_05524	XP_012053827
CNAG_05520	XP_012053826
CNAG_05519	XP_012053825
CNAG_05516	XP_012053824
CNAG_05516	XP_012053823
CNAG_05515	XP_012053822
CNAG_05511	XP_012053821
CNAG_05510	XP_012053820
CNAG_05510	XP_012053819
CNAG_05509	XP_012053818
CNAG_05507	XP_012053817
CNAG_05505	XP_012053816
CNAG_05504	XP_012053815
CNAG_05501	XP_012053814
CNAG_05501	XP_012053813
CNAG_05500	XP_012053812
CNAG_05500	XP_012053811
CNAG_05498	XP_012053810
CNAG_05497	XP_012053809
CNAG_05496	XP_012053808
CNAG_05487	XP_012053807
CNAG_05485	XP_012053806
CNAG_05483	XP_012053805
CNAG_05482	XP_012053804
CNAG_05480	XP_012053803
CNAG_05479	XP_012053802
CNAG_05476	XP_012053801
CNAG_05475	XP_012053800
CNAG_05473	XP_012053799
CNAG_05472	XP_012053798
CNAG_05472	XP_012053797
CNAG_05471	XP_012053796
CNAG_05470	XP_012053795
CNAG_05467	XP_012053794
CNAG_05466	XP_012053793
CNAG_05465	XP_012053792
CNAG_05464	XP_012053791
CNAG_05463	XP_012053790
CNAG_05462	XP_012053789
CNAG_05461	XP_012053788
CNAG_05459	XP_012053787
CNAG_05457	XP_012053786
CNAG_05456	XP_012053785
CNAG_05454	XP_012053784
CNAG_05453	XP_012053783
CNAG_05453	XP_012053782
CNAG_05452	XP_012053781
CNAG_05451	XP_012053780
CNAG_05450	XP_012053779
CNAG_05448	XP_012053778
CNAG_05447	XP_012053777
CNAG_05446	XP_012053776
CNAG_05445	XP_012053775
CNAG_05443	XP_012053774
CNAG_05442	XP_012053773
