Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VSG5	CSR2 CNAG_07636		Chitin synthase regulator 2	CSR2	CNAG_07636		SKT5_CRYNH	fungal-type cell wall chitin biosynthetic process [GO:0034221]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; enzyme activator activity [GO:0008047]; fungal-type cell wall chitin biosynthetic process [GO:0034221]	enzyme activator activity [GO:0008047]	GO:0005886; GO:0008047; GO:0034221
J9VDQ4	VCX1 CNAG_00025		Vacuolar calcium ion transporter (Vacuolar calcium exchanger)	VCX1	CNAG_00025		VCX1_CRYNH	calcium ion import into vacuole [GO:0140146]	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]; calcium:proton antiporter activity [GO:0015369]; calcium ion import into vacuole [GO:0140146]	calcium:proton antiporter activity [GO:0015369]	GO:0005774; GO:0015369; GO:0016021; GO:0140146
J9VVN9	VTS1 RBP1 CNAG_06103	RBP1	RNA-binding protein VTS1	VTS1	CNAG_06103		VTS1_CRYNH	nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of mRNA stability [GO:0043488]; regulation of translation [GO:0006417]	cytosol [GO:0005829]; P-body [GO:0000932]	cytosol [GO:0005829]; P-body [GO:0000932]; mRNA binding [GO:0003729]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; regulation of mRNA stability [GO:0043488]; regulation of translation [GO:0006417]	mRNA binding [GO:0003729]	GO:0000289; GO:0000932; GO:0003729; GO:0005829; GO:0006417; GO:0043488
P0C017	ADE2 CNAG_02294		Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)	ADE2	CNAG_02294		PUR6_CRYNH	'de novo' IMP biosynthetic process [GO:0006189]		5-amino-4-imidazole carboxylate lyase activity [GO:0043727]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; 'de novo' IMP biosynthetic process [GO:0006189]	5-amino-4-imidazole carboxylate lyase activity [GO:0043727]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]	GO:0004638; GO:0005524; GO:0006189; GO:0043727; GO:0046872
J9VQB3	URA5 CNAG_03196		Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	URA5	CNAG_03196		PYRE_CRYNH	'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]		orotate phosphoribosyltransferase activity [GO:0004588]; 'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116]	orotate phosphoribosyltransferase activity [GO:0004588]	GO:0004588; GO:0009116; GO:0044205
J9VI89	TIF3 CNAG_06906		Probable eukaryotic translation initiation factor 4H	TIF3	CNAG_06906		TIF3_CRYNH		P-body [GO:0000932]	P-body [GO:0000932]; translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0000932; GO:0003743
J9VND4	PBP1 CNAG_02046		PAB1-binding protein 1 (Poly(A)-binding protein-binding protein)	PBP1	CNAG_02046		PBP1_CRYNH	regulation of translation [GO:0006417]	cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]	cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]; regulation of translation [GO:0006417]		GO:0000932; GO:0006417; GO:0010494
J9VH94	PDK1 PKH2-02 CNAG_02915	PKH2-02	Serine/threonine-protein kinase PDK1 (EC 2.7.11.1)	PDK1	CNAG_02915		PDK1_CRYNH	positive regulation of cell wall integrity MAPK cascade [GO:1903139]; regulation of sphingolipid biosynthetic process [GO:0090153]		ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; positive regulation of cell wall integrity MAPK cascade [GO:1903139]; regulation of sphingolipid biosynthetic process [GO:0090153]	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005524; GO:0090153; GO:0106310; GO:0106311; GO:1903139
Q9P8P2	PLB1 CNAG_06085		Phospholipase B (EC 3.1.1.5) (Lysophospholipase)	PLB1	CNAG_06085		PLB1_CRYNH	phospholipid catabolic process [GO:0009395]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]; phospholipid catabolic process [GO:0009395]	lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]	GO:0004622; GO:0005576; GO:0009395; GO:0102545
J9VP29	MRJ1 CNAG_00938		Mitochondrial respiration co-chaperone MRJ1 (Mitochondrial respiration J-domain protein 1)	MRJ1	CNAG_00938		MRJ1_CRYNH	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	mitochondrion [GO:0005739]; respirasome [GO:0070469]	mitochondrion [GO:0005739]; respirasome [GO:0070469]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]		GO:0005739; GO:0006122; GO:0070469
