CNAG_02944 CNC05540
CNAG_05075 CNL05450
CNAG_06251 CNM02520
CNAG_02777 CNC03960
CNAG_06347 CNN00760
CNAG_06247 CNM02480
CNAG_02353 CNE01970
CNAG_06009 CNM00180
CNAG_04459 CNI00990
CNAG_06966 CNG00050
CNAG_06623 CNF03950
CNAG_06614 CNF04050
CNAG_02362 CNE01870
CNAG_02925 CNC05340
CNAG_01670 CNC01810
CNAG_01417 CND05280
CNAG_01055 CND01860
CNAG_03848 CNB03380
CNAG_06050 CNM00600
CNAG_05459 CNH01210
CNAG_00052 CNA00410
CNAG_04188 CNI03260
CNAG_02484 CNE00760
CNAG_03233 CNG03390
CNAG_07629 CNE01080
CNAG_05602 CNH02450
CNAG_00582 CNA05660
CNAG_05260 CNH03700
CNAG_06052 CNM00620
CNAG_00247 CNA02370
CNAG_07486 CNB04340
CNAG_01263 CND03840
CNAG_01585 CNC00980
CNAG_04753 CNJ01840
CNAG_01422 CND05340
CNAG_00648 CNA06280
CNAG_04350 CNI02000
CNAG_03562 CNG00410
CNAG_02322 CNE02250
CNAG_06000 CNM00090
CNAG_01878 CNK02190
CNAG_03454 CNG01330
CNAG_02840 CNC04560
CNAG_05340 CNH00070
CNAG_03828 CNB03180
CNAG_07520 CNC04480
CNAG_04585 CNJ00270
CNAG_02344 CNE02040
CNAG_01584 CNC00970
CNAG_05003 CNL06120
CNAG_04085 CNB05660
CNAG_03465 CNG01240
CNAG_06119 CNM01250
CNAG_04133 CNI02730
CNAG_05785 CNF01930
CNAG_03250 CNG03230
CNAG_03666 CNB01650
CNAG_06512 CNN02370
CNAG_00465 CNA04460
CNAG_06485 CNN02090
CNAG_07448 CND00530
CNAG_00601 CNA05840
CNAG_04185 CNI03220
CNAG_07387 CNA08320
CNAG_06008 CNM00170
CNAG_01686 CNC01950
CNAG_02805 CNC04230
CNAG_01121 CND02460
CNAG_06238 CNM02380
CNAG_02688 CNK01760
CNAG_07902 CNM00800
CNAG_03433 CNG01530
CNAG_04758 CNJ01880
CNAG_02764 CNC03860
CNAG_07862 CNJ00140
CNAG_01671 CNC01820
CNAG_04003 CNB04870
CNAG_05260 CNL03700
CNAG_03772 CNB02680
CNAG_02405 CNE01500
CNAG_03794 CNB02880
CNAG_03564 CNG00390
CNAG_01299 CND04190
CNAG_07446 CND00920
CNAG_01356 CND04720
CNAG_04363 CNI01870
CNAG_05012 CNL06040
CNAG_01594 CNC01070
CNAG_06102 CNM01090
CNAG_00051 CNA00400
CNAG_02385 CNE01650
CNAG_01669 CNC01800
CNAG_02541 CNE00250
CNAG_02934 CNC05440
CNAG_01542 CNC06420
CNAG_02924 CNC05330
CNAG_02226 CNE03140
CNAG_06817 CND05980
CNAG_02363 CNE01860
CNAG_01574 CNC00890
CNAG_05460 CNH01220
CNAG_03922 CNB04110
CNAG_00961 CND00910
CNAG_00139 CNA01260
CNAG_03531 CNG00640
CNAG_04154 CNI02910
CNAG_02420 CNE01370
CNAG_04036 CNB05180
CNAG_05229 CNL03990
CNAG_05585 CNH02300
CNAG_00011 CNA00020
CNAG_01384 CND04960
CNAG_02052 CNE04820
CNAG_02299 CNE02460
CNAG_00889 CND00280
CNAG_00010 CNA00030
CNAG_06568 CNF04490
CNAG_01244 CND03620
CNAG_04946 CNL06690
CNAG_01344 CND04590
CNAG_07830 CNH03110
CNAG_00651 CNA06310
CNAG_02054 CNE04800
CNAG_01892 CNK02330
CNAG_06867 CNE00050
CNAG_01806 CNC02950
CNAG_06020 CNM00310
CNAG_02179 CNE03590
CNAG_05393 CNH00610
CNAG_06267 CNN00050
CNAG_01893 CNK02340
CNAG_06574 CNF04430
CNAG_03561 CNG00420
CNAG_05471 CNH01310
CNAG_05657 CNH02950
CNAG_06294 CNN00300
CNAG_06362 CNN00900
CNAG_04025 CNB05080
CNAG_05115 CNL05050
CNAG_04632 CNJ00690
CNAG_03677 CNB01760
CNAG_00192 CNA01810
CNAG_04374 CNI01540
CNAG_07368 CNA05360
CNAG_01207 CND03310
CNAG_04704 CNJ01350
CNAG_01776 CNC02750
CNAG_02473 CNE00870
CNAG_01061 CND01920
CNAG_02562 CNK00550
CNAG_01576 CNC00910
CNAG_02365 CNE01840
CNAG_01651 CNC01640
CNAG_02309 CNE02370
CNAG_01758 CNC02590
CNAG_07802 CNL06180
CNAG_02045 CNE04900
CNAG_04546 CNI00100
CNAG_02598 CNK00840
CNAG_03007 CNC06180
CNAG_06698 CNF03180
CNAG_01735 CNC02400
CNAG_03683 CNB01810
CNAG_02364 CNE01850
CNAG_06828 CND06100
CNAG_04908 CNJ03310
CNAG_04187 CNI03250
CNAG_07747 CNG00320
CNAG_00490 CNA04700
CNAG_06530 CNF04890
CNAG_06055 CNM00640
CNAG_06999 CNE04520
CNAG_03133 CNG04310
CNAG_05247 CNL03840
CNAG_01075 CND02030
CNAG_02060 CNE04750
CNAG_05461 CNH01230
CNAG_04622 CNJ00600
CNAG_01118 CND02430
CNAG_02599 CNK00850
CNAG_07917 CNM02550
CNAG_05653 CNH02910
CNAG_06808 CND05800
CNAG_04911 CNJ03340
CNAG_04141 CNI02790
CNAG_04727 CNJ01570
CNAG_00012 CNC00020
CNAG_05766 CNF02120
CNAG_05020 CNL05970
CNAG_00995 CND01230
CNAG_04106 CNI04420
CNAG_06249 CNM02500
CNAG_06323 CNN00510
CNAG_03692 CNB01900
CNAG_05534 CNH01850
CNAG_05005 CNL06100
CNAG_03381 CNG02030
CNAG_03856 CNB03460
CNAG_03716 CNB02130
CNAG_04184 CNI03210
CNAG_04691 CNJ01220
CNAG_00543 CNA05270
CNAG_06431 CNN01550
CNAG_04238 CNI03790
CNAG_06002 CNM00110
CNAG_00331 CNA03130
CNAG_01081 CND02090
CNAG_00984 CND01120
CNAG_01080 CND02080
CNAG_06913 CNK00180
CNAG_07630 CNE01090
CNAG_06494 CNN02190
CNAG_06569 CNF04480
CNAG_03346 CNG02330
CNAG_02694 CNK01820
CNAG_07538 CNK01330
CNAG_00637 CNA06170
CNAG_02718 CNC03460
CNAG_05721 CNF02530
CNAG_03946 CNB04330
CNAG_03529 CNG00650
CNAG_03050 CNC00380
CNAG_01108 CND02340
CNAG_04837 CNJ02620
CNAG_04209 CNI03480
CNAG_07806 CNL05680
CNAG_05761 CNF02160
CNAG_05374 CNH00420
CNAG_06622 CNF03960
CNAG_03903 CNB03920
CNAG_01512 CNC06690
CNAG_04467 CNI00900
CNAG_06889 CNK00390
CNAG_01879 CNK02200
CNAG_05321 CNH03120
CNAG_03013 CNC00720
CNAG_03464 CNG01250
CNAG_04093 CNB05720
CNAG_00048 CNA00370
CNAG_07869 CNH00110
CNAG_00594 CNA05760
CNAG_02335 CNE02120
CNAG_03573 CNG00340
CNAG_04354 CNI01960
CNAG_04955 CNL06600
CNAG_00049 CNA00380
CNAG_05026 CNL05900
CNAG_03718 CNB02140
